Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Mildred Rutgers Huis,Zijpendaalseweg 101,6814,CH Arnhem,Netherlands,Guelders
Centrum Seksuele Gezondheid,Louwesweg 6,1066EC,AV Amsterdam,Netherlands,North Holland
Abortuskliniek sezoz,Louwesweg 6,1066EC,Amsterdam,Netherlands,North Holland
Oosterparkkliniek,Oosterpark 59,1092,AR Amsterdam,Netherlands,North Holland
Centrum Seksuele Gezondheid,Magdalenenstraat 28,1811,JR Alkmaar,Netherlands,North Holland
Beahuis & Bloemenhovekliniek,Herenweg 215,2106,MJ Heemstede,Netherlands,North Holland
SGNN Stimezo,Radesingel 11,9711,ED Groningen,Netherlands,North Holland
Emmakliniek Abortion Clinic,Emmastraat 186-188,7513,BG Enschede,Netherlands,Overijssel
Stimezo Zwolle Abortuskliniek,Oosterlaan 14,8011,GC Zwolle,Netherlands,Overijssel
Gynaikon Kliniek Roermond,Bredeweg 239,6043,Roermond,Netherlands,Roermond
Gynaikon Kliniek Rotterdam,Strevelsweg 700,3083,Rotterdam,Netherlands,Rotterdam
Preterm Kliniek,Eisenhowerlaan 104-106,2517,KL Den Haag,Netherlands,South Holland
CASA The Hague,Van Beverningkstraat 134,2582,VL The Hague,Netherlands,South Holland
CASA Rotterdam,Strevelsweg 700/201-204,3083,AS Rotterdam,Netherlands,South Holland
RutgersStimezo,Jan van Schoonvorststraat 20-22,5611,PK Eindhoven,Netherlands,South Holland
Vrelinghuis,Biltstraat 397/423,3572,AV Utrecht,Netherlands,Utrecht
CASA Goes,Beestenmarkt 7,4461,CS Goes,Netherlands,Zeeland
