Nome,Indirizzo,Codice Postale,Città,Paese,Regione
Vestre Viken HF Klinikk for gynekologi og fødselshjelp Bærum og Ringerike,Sogneprest Munthe-Kaas vei 100,1346,Gjettum,Norway,Akershus
Akershus Universitetssykehus Kvinneklinikken,Sykehusv 27,1478,Lørenskog,Norway,Akershus
"Arendal Hospital, Sørlandet sykehus",Sykehusveien 1,4838,Arendal,Norway,Aust-Agder
Vestre Viken HF Gynekologisk poliklinikk Drammen,Dronninggata 28,3004,Drammen,Norway,Buskerud
"Ringerike sykehus, Vestre Viken",Arnold Dybsjords vei 1,3511,Hønefoss,Norway,Buskerud
Kongsvinger Sykehuset Innlandet Gynekologisk- føde- barselavdeling,Parkvegen 35,2226,Kongsvinger,Norway,Hedmark
Elverum Sykehuset Innlandet Gynekologisk/føde avdeling,Kirkeveien 31,2418,Elverum,Norway,Hedmark
"Kvinneklinikken, Haukeland University hospital",Jonas Liesvei 72,5058,Bergen,Norway,Hordaland
Helse Fonna HF Føde/barsel/gynekologi Stord,Tysevegen 64,5416,Stord,Norway,Hordaland
Voss sjukehus,Sjukehusvegen 16,5700,Voss,Norway,Hordaland
Lillehammer Hospital: Sykehuset Innlandet Gynekologisk avdeling,Anders Sandvigsgate 17,2629,Lillehammer,Norway,Oppland
Gjøvik Sykehuset Innlandet Gynekologisk,Kyrre Grepps gate 11,2819,Gjøvik,Norway,Oppland
Oslo universitetssykehus Ullevål Kvinne- og barndivisjonen,Kirkeveien 166,0424,Oslo,Norway,Oslo
Stavanger University Hospital: Helse Stavanger HF Kvinneklinikken,Gerd-Ragna Bloch Thorsens gate 8,4011,Stavanger,Norway,Rogaland
Haugesund Hospital: Helse Fonna HF Kvinne/barn klinikk,Postboks 2170,5504,Haugesund,Norway,Rogaland
Telemark SykehusetKvinneklinikken,Ulefvossvegen 35,3710,Skien,Norway,Skien
Førde sentralsjukehus Kvinneklinikken,Svanehaugvegen 2,6800,Førde,Norway,Sogn og Fjordane
"Førde Hospital, Førde sentralsjukehus Kvinneklinikken",Førdegården,6800,Førde,Norway,Sogn og Fjordane
Sykehuset i Vestfold Kvinnesenteret,Halfdan Wilhelmsens allé 17,3103,Tønsberg,Norway,Vestfold
Kristiansand Sørlandet sykehus,Egsveien 100,4615,Kristiansand,Norway,West Agder
Fredrikstad Sykehuset Østfold Kvinneklinikken,Cicignongata 19,1603,Fredrikstad,Norway,Østfold
